Column Type,Annual Name,Annual Units,Published Annual Name,Published Annual Name Sightglass,Published Annual Unit,ResStock To Published Annual Unit Conversion Factor,Timeseries Name,Timeseries Units,Published Timeseries Name,Published Timeseries Name Sightglass,Published Timeseries Unit,ResStock To Published Timeseries Unit Conversion Factor,Notes
Input,build_existing_model.city,,in.city,in.city,,,,,,,,,:ref:`city`
Input,build_existing_model.clothes_dryer,,in.clothes_dryer,in.clothes_dryer,,,,,,,,,:ref:`clothes_dryer`
Input,build_existing_model.clothes_dryer_usage_level,,in.clothes_dryer_usage_level,in.clothes_dryer_usage_level,,,,,,,,,:ref:`clothes_dryer_usage_level`
Input,build_existing_model.clothes_washer,,in.clothes_washer,in.clothes_washer,,,,,,,,,:ref:`clothes_washer`
Input,build_existing_model.clothes_washer_presence,,in.clothes_washer_presence,in.clothes_washer_presence,,,,,,,,,:ref:`clothes_washer_presence`
Input,build_existing_model.clothes_washer_usage_level,,in.clothes_washer_usage_level,in.clothes_washer_usage_level,,,,,,,,,:ref:`clothes_washer_usage_level`
Input,build_existing_model.cooking_range,,in.cooking_range,in.cooking_range,,,,,,,,,:ref:`cooking_range`
Input,build_existing_model.cooking_range_usage_level,,in.cooking_range_usage_level,in.cooking_range_usage_level,,,,,,,,,:ref:`cooking_range_usage_level`
Input,build_existing_model.cooling_unavailable_days,,in.cooling_unavailable_days,in.cooling_unavailable_days,,,,,,,,,:ref:`cooling_unavailable_days`
Input,build_existing_model.cooling_setpoint,,in.cooling_setpoint,in.cooling_setpoint,,,,,,,,,:ref:`cooling_setpoint`
Input,build_existing_model.cooling_setpoint_has_offset,,in.cooling_setpoint_has_offset,in.cooling_setpoint_has_offset,,,,,,,,,:ref:`cooling_setpoint_has_offset`
Input,build_existing_model.cooling_setpoint_offset_magnitude,,in.cooling_setpoint_offset_magnitude,in.cooling_setpoint_offset_magnitude,,,,,,,,,:ref:`cooling_setpoint_offset_magnitude`
Input,build_existing_model.cooling_setpoint_offset_period,,in.cooling_setpoint_offset_period,in.cooling_setpoint_offset_period,,,,,,,,,:ref:`cooling_setpoint_offset_period`
Input,build_existing_model.corridor,,in.corridor,in.corridor,,,,,,,,,:ref:`corridor`
Input,build_existing_model.county,,in.county,in.county,,,,,,,,,:ref:`county`
Input,build_existing_model.county_and_puma,,in.county_and_puma,in.county_and_puma,,,,,,,,,:ref:`county_and_puma`
Input,build_existing_model.county_metro_status,,in.county_metro_status,in.county_metro_status,,,,,,,,,:ref:`county_metro_status`
Input,build_existing_model.custom_state,,in.custom_state,in.custom_state,,,,,,,,,:ref:`custom_state`
Input,build_existing_model.dehumidifier,,in.dehumidifier,in.dehumidifier,,,,,,,,,:ref:`dehumidifier`
Input,build_existing_model.dishwasher,,in.dishwasher,in.dishwasher,,,,,,,,,:ref:`dishwasher`
Input,build_existing_model.dishwasher_usage_level,,in.dishwasher_usage_level,in.dishwasher_usage_level,,,,,,,,,:ref:`dishwasher_usage_level`
Input,build_existing_model.door_area,,in.door_area,in.door_area,,,,,,,,,:ref:`door_area`
Input,build_existing_model.doors,,in.doors,in.doors,,,,,,,,,:ref:`doors`
Input,build_existing_model.duct_leakage_and_insulation,,in.duct_leakage_and_insulation,in.duct_leakage_and_insulation,,,,,,,,,:ref:`duct_leakage_and_insulation`
Input,build_existing_model.duct_location,,in.duct_location,in.duct_location,,,,,,,,,:ref:`duct_location`
Input,build_existing_model.eaves,,in.eaves,in.eaves,,,,,,,,,:ref:`eaves`
Input,build_existing_model.electric_panel_service_max_current_rating,amp,in.electric_panel_service_max_current_rating,in.electric_panel_service_max_current_rating,amp,1,,,,,,,:ref:`electric_panel_service_max_current_rating`
Input,build_existing_model.electric_panel_service_max_current_rating_bin,amp,in.electric_panel_service_max_current_rating_bin,in.electric_panel_service_max_current_rating_bin,amp,,,,,,,,:ref:`electric_panel_service_max_current_rating_bin`
Input,build_existing_model.electric_vehicle_battery,,in.electric_vehicle_battery,in.electric_vehicle_battery,,,,,,,,,:ref:`electric_vehicle_battery`
Input,build_existing_model.electric_vehicle_charge_at_home,,in.electric_vehicle_charge_at_home,in.electric_vehicle_charge_at_home,,,,,,,,,:ref:`electric_vehicle_charge_at_home`
Input,build_existing_model.electric_vehicle_charger,,in.electric_vehicle_charger,in.electric_vehicle_charger,,,,,,,,,:ref:`electric_vehicle_charger`
Input,build_existing_model.electric_vehicle_miles_traveled,,in.electric_vehicle_miles_traveled,in.electric_vehicle_miles_traveled,,,,,,,,,:ref:`electric_vehicle_miles_traveled`
Input,build_existing_model.electric_vehicle_outlet_access,,in.electric_vehicle_outlet_access,in.electric_vehicle_outlet_access,,,,,,,,,:ref:`electric_vehicle_outlet_access`
Input,build_existing_model.electric_vehicle_ownership,,in.electric_vehicle_ownership,in.electric_vehicle_ownership,,,,,,,,,:ref:`electric_vehicle_ownership`
Input,build_existing_model.energystar_climate_zone_2023,,in.energystar_climate_zone_2023,in.energystar_climate_zone_2023,,,,,,,,,:ref:`energystar_climate_zone_2023`
Input,build_existing_model.federal_poverty_level,,in.federal_poverty_level,in.federal_poverty_level,,,,,,,,,:ref:`federal_poverty_level`
Input,build_existing_model.generation_and_emissions_assessment_region,,in.generation_and_emissions_assessment_region,in.generation_and_emissions_assessment_region,,,,,,,,,:ref:`generation_and_emissions_assessment_region`
Input,build_existing_model.geometry_attic_type,,in.geometry_attic_type,in.geometry_attic_type,,,,,,,,,:ref:`geometry_attic_type`
Input,build_existing_model.geometry_building_horizontal_location_mf,,in.geometry_building_horizontal_location_mf,in.geometry_building_horizontal_location_mf,,,,,,,,,:ref:`geometry_building_horizontal_location_mf`
Input,build_existing_model.geometry_building_horizontal_location_sfa,,in.geometry_building_horizontal_location_sfa,in.geometry_building_horizontal_location_sfa,,,,,,,,,:ref:`geometry_building_horizontal_location_sfa`
Input,build_existing_model.geometry_building_level_mf,,in.geometry_building_level_mf,in.geometry_building_level_mf,,,,,,,,,:ref:`geometry_building_level_mf`
Input,build_existing_model.geometry_building_number_units_mf,,in.geometry_building_number_units_mf,in.geometry_building_number_units_mf,,,,,,,,,:ref:`geometry_building_number_units_mf`
Input,build_existing_model.geometry_building_number_units_sfa,,in.geometry_building_number_units_sfa,in.geometry_building_number_units_sfa,,,,,,,,,:ref:`geometry_building_number_units_sfa`
Input,build_existing_model.geometry_building_type_acs,,in.geometry_building_type_acs,in.geometry_building_type_acs,,,,,,,,,:ref:`geometry_building_type_acs`
Input,build_existing_model.geometry_building_type_height,,in.geometry_building_type_height,in.geometry_building_type_height,,,,,,,,,:ref:`geometry_building_type_height`
Input,build_existing_model.geometry_building_type_recs,,in.geometry_building_type_recs,in.geometry_building_type_recs,,,,,,,,,:ref:`geometry_building_type_recs`
Input,build_existing_model.geometry_floor_area,,in.geometry_floor_area,in.geometry_floor_area,,,,,,,,,:ref:`geometry_floor_area`
Input,build_existing_model.geometry_floor_area_bin,,in.geometry_floor_area_bin,in.geometry_floor_area_bin,,,,,,,,,:ref:`geometry_floor_area_bin`
Input,build_existing_model.geometry_foundation_type,,in.geometry_foundation_type,in.geometry_foundation_type,,,,,,,,,:ref:`geometry_foundation_type`
Input,build_existing_model.geometry_garage,,in.geometry_garage,in.geometry_garage,,,,,,,,,:ref:`geometry_garage`
Input,build_existing_model.geometry_space_combination,,in.geometry_space_combination,in.geometry_space_combination,,,,,,,,,:ref:`geometry_space_combination`
Input,build_existing_model.geometry_stories,,in.geometry_stories,in.geometry_stories,,,,,,,,,:ref:`geometry_stories`
Input,build_existing_model.geometry_stories_low_rise,,in.geometry_stories_low_rise,in.geometry_stories_low_rise,,,,,,,,,:ref:`geometry_stories_low_rise`
Input,build_existing_model.geometry_story_bin,,in.geometry_story_bin,in.geometry_story_bin,,,,,,,,,:ref:`geometry_story_bin`
Input,build_existing_model.geometry_wall_exterior_finish,,in.geometry_wall_exterior_finish,in.geometry_wall_exterior_finish,,,,,,,,,:ref:`geometry_wall_exterior_finish`
Input,build_existing_model.geometry_wall_type,,in.geometry_wall_type,in.geometry_wall_type,,,,,,,,,:ref:`geometry_wall_type`
Input,build_existing_model.ground_thermal_conductivity,,in.ground_thermal_conductivity,in.ground_thermal_conductivity,,,,,,,,,:ref:`ground_thermal_conductivity`
Input,build_existing_model.has_pv,,in.has_pv,in.has_pv,,,,,,,,,:ref:`has_pv`
Input,build_existing_model.heating_fuel,,in.heating_fuel,in.heating_fuel,,,,,,,,,:ref:`heating_fuel`
Input,build_existing_model.heating_unavailable_days,,in.heating_unavailable_days,in.heating_unavailable_days,,,,,,,,,:ref:`heating_unavailable_days`
Input,build_existing_model.heating_setpoint,,in.heating_setpoint,in.heating_setpoint,,,,,,,,,:ref:`heating_setpoint`
Input,build_existing_model.heating_setpoint_has_offset,,in.heating_setpoint_has_offset,in.heating_setpoint_has_offset,,,,,,,,,:ref:`heating_setpoint_has_offset`
Input,build_existing_model.heating_setpoint_offset_magnitude,,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_magnitude,,,,,,,,,:ref:`heating_setpoint_offset_magnitude`
Input,build_existing_model.heating_setpoint_offset_period,,in.heating_setpoint_offset_period,in.heating_setpoint_offset_period,,,,,,,,,:ref:`heating_setpoint_offset_period`
Input,build_existing_model.holiday_lighting,,in.holiday_lighting,in.holiday_lighting,,,,,,,,,:ref:`holiday_lighting`
Input,build_existing_model.hot_water_distribution,,in.hot_water_distribution,in.hot_water_distribution,,,,,,,,,:ref:`hot_water_distribution`
Input,build_existing_model.hot_water_fixtures,,in.hot_water_fixtures,in.hot_water_fixtures,,,,,,,,,:ref:`hot_water_fixtures`
Input,build_existing_model.household_has_tribal_persons,,in.household_has_tribal_persons,in.household_has_tribal_persons,,,,,,,,,:ref:`household_has_tribal_persons`
Input,build_existing_model.hvac_cooling_autosizing_factor,,in.hvac_cooling_autosizing_factor,in.hvac_cooling_autosizing_factor,,,,,,,,,:ref:`hvac_cooling_autosizing_factor`
Input,build_existing_model.hvac_cooling_efficiency,,in.hvac_cooling_efficiency,in.hvac_cooling_efficiency,,,,,,,,,:ref:`hvac_cooling_efficiency`
Input,build_existing_model.hvac_cooling_partial_space_conditioning,,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_partial_space_conditioning,,,,,,,,,:ref:`hvac_cooling_partial_space_conditioning`
Input,build_existing_model.hvac_cooling_type,,in.hvac_cooling_type,in.hvac_cooling_type,,,,,,,,,:ref:`hvac_cooling_type`
Input,build_existing_model.hvac_has_ducts,,in.hvac_has_ducts,in.hvac_has_ducts,,,,,,,,,:ref:`hvac_has_ducts`
Input,build_existing_model.hvac_has_shared_system,,in.hvac_has_shared_system,in.hvac_has_shared_system,,,,,,,,,:ref:`hvac_has_shared_system`
Input,build_existing_model.hvac_has_zonal_electric_heating,,in.hvac_has_zonal_electric_heating,in.hvac_has_zonal_electric_heating,,,,,,,,,:ref:`hvac_has_zonal_electric_heating`
Input,build_existing_model.hvac_heating_autosizing_factor,,in.hvac_heating_autosizing_factor,in.hvac_heating_autosizing_factor,,,,,,,,,:ref:`hvac_heating_autosizing_factor`
Input,build_existing_model.hvac_heating_efficiency,,in.hvac_heating_efficiency,in.hvac_heating_efficiency,,,,,,,,,:ref:`hvac_heating_efficiency`
Input,build_existing_model.hvac_heating_type,,in.hvac_heating_type,in.hvac_heating_type,,,,,,,,,:ref:`hvac_heating_type`
Input,build_existing_model.hvac_heating_type_and_fuel,,in.hvac_heating_type_and_fuel,in.hvac_heating_type_and_fuel,,,,,,,,,:ref:`hvac_heating_type_and_fuel`
Input,build_existing_model.hvac_secondary_heating_efficiency,,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_efficiency,,,,,,,,,:ref:`hvac_secondary_heating_efficiency`
Input,build_existing_model.hvac_secondary_heating_fuel,,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_fuel,,,,,,,,,:ref:`hvac_secondary_heating_fuel`
Input,build_existing_model.hvac_secondary_heating_partial_space_conditioning,,in.hvac_secondary_heating_partial_space_conditioning,in.hvac_secondary_heating_partial_space_conditioning,,,,,,,,,:ref:`hvac_secondary_heating_partial_space_conditioning`
Input,build_existing_model.hvac_secondary_heating_type,,in.hvac_secondary_heating_type,in.hvac_secondary_heating_type,,,,,,,,,:ref:`hvac_secondary_heating_type`
Input,build_existing_model.hvac_shared_efficiencies,,in.hvac_shared_efficiencies,in.hvac_shared_efficiencies,,,,,,,,,:ref:`hvac_shared_efficiencies`
Input,build_existing_model.hvac_system_is_faulted,,in.hvac_system_is_faulted,in.hvac_system_is_faulted,,,,,,,,,:ref:`hvac_system_is_faulted`
Input,build_existing_model.hvac_system_is_scaled,,in.hvac_system_is_scaled,in.hvac_system_is_scaled,,,,,,,,,:ref:`hvac_system_is_scaled`
Input,build_existing_model.hvac_system_single_speed_ac_airflow,,in.hvac_system_single_speed_ac_airflow,in.hvac_system_single_speed_ac_airflow,,,,,,,,,:ref:`hvac_system_single_speed_ac_airflow`
Input,build_existing_model.hvac_system_single_speed_ac_charge,,in.hvac_system_single_speed_ac_charge,in.hvac_system_single_speed_ac_charge,,,,,,,,,:ref:`hvac_system_single_speed_ac_charge`
Input,build_existing_model.hvac_system_single_speed_ashp_airflow,,in.hvac_system_single_speed_ashp_airflow,in.hvac_system_single_speed_ashp_airflow,,,,,,,,,:ref:`hvac_system_single_speed_ashp_airflow`
Input,build_existing_model.hvac_system_single_speed_ashp_charge,,in.hvac_system_single_speed_ashp_charge,in.hvac_system_single_speed_ashp_charge,,,,,,,,,:ref:`hvac_system_single_speed_ashp_charge`
Input,build_existing_model.income,,in.income,in.income,,,,,,,,,:ref:`income`
Input,build_existing_model.income_recs_2015,,in.income_recs_2015,in.income_recs_2015,,,,,,,,,:ref:`income_recs2015`
Input,build_existing_model.income_recs_2020,,in.income_recs_2020,in.income_recs_2020,,,,,,,,,:ref:`income_recs2020`
Input,build_existing_model.infiltration,,in.infiltration,in.infiltration,,,,,,,,,:ref:`infiltration`
Input,build_existing_model.insulation_ceiling,,in.insulation_ceiling,in.insulation_ceiling,,,,,,,,,:ref:`insulation_ceiling`
Input,build_existing_model.insulation_floor,,in.insulation_floor,in.insulation_floor,,,,,,,,,:ref:`insulation_floor`
Input,build_existing_model.insulation_foundation_wall,,in.insulation_foundation_wall,in.insulation_foundation_wall,,,,,,,,,:ref:`insulation_foundation_wall`
Input,build_existing_model.insulation_rim_joist,,in.insulation_rim_joist,in.insulation_rim_joist,,,,,,,,,:ref:`insulation_rim_joist`
Input,build_existing_model.insulation_roof,,in.insulation_roof,in.insulation_roof,,,,,,,,,:ref:`insulation_roof`
Input,build_existing_model.insulation_slab,,in.insulation_slab,in.insulation_slab,,,,,,,,,:ref:`insulation_slab`
Input,build_existing_model.insulation_wall,,in.insulation_wall,in.insulation_wall,,,,,,,,,:ref:`insulation_wall`
Input,build_existing_model.interior_shading,,in.interior_shading,in.interior_shading,,,,,,,,,:ref:`interior_shading`
Input,build_existing_model.iso_rto_region,,in.iso_rto_region,in.iso_rto_region,,,,,,,,,:ref:`iso_rto_region`
Input,build_existing_model.lighting,,in.lighting,in.lighting,,,,,,,,,:ref:`lighting`
Input,build_existing_model.lighting_interior_use,,in.lighting_interior_use,in.lighting_interior_use,,,,,,,,,:ref:`lighting_interior_use`
Input,build_existing_model.lighting_other_use,,in.lighting_other_use,in.lighting_other_use,,,,,,,,,:ref:`lighting_other_use`
Input,build_existing_model.location_region,,in.location_region,in.location_region,,,,,,,,,:ref:`location_region`
Input,build_existing_model.mechanical_ventilation,,in.mechanical_ventilation,in.mechanical_ventilation,,,,,,,,,:ref:`mechanical_ventilation`
Input,build_existing_model.metropolitan_and_micropolitan_statistical_area,,in.metropolitan_and_micropolitan_statistical_area,in.metropolitan_and_micropolitan_statistical_area,,,,,,,,,:ref:`metropolitan_and_micropolitan_statistical_area`
Input,build_existing_model.misc_extra_refrigerator,,in.misc_extra_refrigerator,in.misc_extra_refrigerator,,,,,,,,,:ref:`misc_extra_refrigerator`
Input,build_existing_model.misc_freezer,,in.misc_freezer,in.misc_freezer,,,,,,,,,:ref:`misc_freezer`
Input,build_existing_model.misc_gas_fireplace,,in.misc_gas_fireplace,in.misc_gas_fireplace,,,,,,,,,:ref:`misc_gas_fireplace`
Input,build_existing_model.misc_gas_grill,,in.misc_gas_grill,in.misc_gas_grill,,,,,,,,,:ref:`misc_gas_grill`
Input,build_existing_model.misc_gas_lighting,,in.misc_gas_lighting,in.misc_gas_lighting,,,,,,,,,:ref:`misc_gas_lighting`
Input,build_existing_model.misc_hot_tub_spa,,in.misc_hot_tub_spa,in.misc_hot_tub_spa,,,,,,,,,:ref:`misc_hot_tub_spa`
Input,build_existing_model.misc_pool,,in.misc_pool,in.misc_pool,,,,,,,,,:ref:`misc_pool`
Input,build_existing_model.misc_pool_heater,,in.misc_pool_heater,in.misc_pool_heater,,,,,,,,,:ref:`misc_pool_heater`
Input,build_existing_model.misc_pool_pump,,in.misc_pool_pump,in.misc_pool_pump,,,,,,,,,:ref:`misc_pool_pump`
Input,build_existing_model.misc_well_pump,,in.misc_well_pump,in.misc_well_pump,,,,,,,,,:ref:`misc_well_pump`
Input,build_existing_model.natural_ventilation,,in.natural_ventilation,in.natural_ventilation,,,,,,,,,:ref:`natural_ventilation`
Input,build_existing_model.neighbors,,in.neighbors,in.neighbors,,,,,,,,,:ref:`neighbors`
Input,build_existing_model.occupants,,in.occupants,in.occupants,,,,,,,,,:ref:`occupants`
Input,build_existing_model.orientation,,in.orientation,in.orientation,,,,,,,,,:ref:`orientation`
Input,build_existing_model.overhangs,,in.overhangs,in.overhangs,,,,,,,,,:ref:`overhangs`
Input,build_existing_model.plug_load_diversity,,in.plug_load_diversity,in.plug_load_diversity,,,,,,,,,:ref:`plug_load_diversity`
Input,build_existing_model.plug_loads,,in.plug_loads,in.plug_loads,,,,,,,,,:ref:`plug_loads`
Input,build_existing_model.puma,,in.puma,in.puma,,,,,,,,,:ref:`puma`
Input,build_existing_model.puma_metro_status,,in.puma_metro_status,in.puma_metro_status,,,,,,,,,:ref:`puma_metro_status`
Input,build_existing_model.pv_orientation,,in.pv_orientation,in.pv_orientation,,,,,,,,,:ref:`pv_orientation`
Input,build_existing_model.pv_system_size,,in.pv_system_size,in.pv_system_size,,,,,,,,,:ref:`pv_system_size`
Input,build_existing_model.radiant_barrier,,in.radiant_barrier,in.radiant_barrier,,,,,,,,,:ref:`radiant_barrier`
Input,build_existing_model.range_spot_vent_hour,,in.range_spot_vent_hour,in.range_spot_vent_hour,,,,,,,,,:ref:`range_spot_vent_hour`
Input,build_existing_model.reeds_balancing_area,,in.reeds_balancing_area,in.reeds_balancing_area,,,,,,,,,:ref:`reeds_balancing_area`
Input,build_existing_model.refrigerator,,in.refrigerator,in.refrigerator,,,,,,,,,:ref:`refrigerator`
Input,build_existing_model.refrigerator_usage_level,,in.refrigerator_usage_level,in.refrigerator_usage_level,,,,,,,,,:ref:`refrigerator_usage_level`
Input,build_existing_model.roof_material,,in.roof_material,in.roof_material,,,,,,,,,:ref:`roof_material`
Input,build_existing_model.state,,in.state,in.state,,,,,,,,,:ref:`state`
Input,build_existing_model.state_metro_median_income,,in.state_metro_median_income,in.state_metro_median_income,,,,,,,,,:ref:`state_metro_median_income`
Input,build_existing_model.tenure,,in.tenure,in.tenure,,,,,,,,,:ref:`tenure`
Input,build_existing_model.usage_level,,in.usage_level,in.usage_level,,,,,,,,,:ref:`usage_level`
Input,build_existing_model.vacancy_status,,in.vacancy_status,in.vacancy_status,,,,,,,,,:ref:`vacancy_status`
Input,build_existing_model.vintage,,in.vintage,in.vintage,,,,,,,,,:ref:`vintage`
Input,build_existing_model.vintage_acs,,in.vintage_acs,in.vintage_acs,,,,,,,,,:ref:`vintage_acs`
Input,build_existing_model.water_heater_efficiency,,in.water_heater_efficiency,in.water_heater_efficiency,,,,,,,,,:ref:`water_heater_efficiency`
Input,build_existing_model.water_heater_fuel,,in.water_heater_fuel,in.water_heater_fuel,,,,,,,,,:ref:`water_heater_fuel`
Input,build_existing_model.water_heater_in_unit,,in.water_heater_in_unit,in.water_heater_in_unit,,,,,,,,,:ref:`water_heater_in_unit`
Input,build_existing_model.water_heater_location,,in.water_heater_location,in.water_heater_location,,,,,,,,,:ref:`water_heater_location`
Input,build_existing_model.window_areas,,in.window_areas,in.window_areas,,,,,,,,,:ref:`window_areas`
Input,build_existing_model.windows,,in.windows,in.windows,,,,,,,,,:ref:`windows`
Input,build_existing_model.air_leakage_to_outside_ach_50,,in.air_leakage_to_outside_ach_50,in.air_leakage_to_outside_ach_50,,,,,,,,,Total infiltration to the dwelling unit adjusted by ratio of exterior envelope surface area to total envelope surface area.
Input,build_existing_model.applicable,,in.applicable,in.applicable,,,,,,,,,The measure was applied to the workflow.
Input,build_existing_model.buildstock_csv_path,,in.buildstock_csv_path,in.buildstock_csv_path,,,,,,,,,Absolute/relative path of the buildstock CSV file. Relative is compared to the 'lib/housing_characteristics' directory.
Input,build_existing_model.units_represented,,in.units_represented,in.units_represented,,,,,,,,,The number of dwelling units this simulation represents. Should always be one.
Input,build_existing_model.emissions_electricity_folders,,in.emissions_electricity_folders,in.emissions_electricity_folders,,,,,,,,,"Relative paths of electricity emissions factor schedule files with hourly values. Paths are relative to the resources folder. If multiple scenarios, use a comma-separated list. File names must contain GEA region names."
Input,build_existing_model.emissions_electricity_units,,in.emissions_electricity_units,in.emissions_electricity_units,,,,,,,,,"Electricity emissions factors units. If multiple scenarios, use a comma-separated list. Only lb/MWh and kg/MWh are allowed."
Input,build_existing_model.emissions_electricity_values_or_filepaths,,in.emissions_electricity_values_or_filepaths,in.emissions_electricity_values_or_filepaths,,,,,,,,,"Electricity emissions factors values, specified as either an annual factor or an absolute/relative path to a file with hourly factors. If multiple scenarios, use a comma-separated list."
Input,build_existing_model.emissions_fossil_fuel_units,,in.emissions_fossil_fuel_units,in.emissions_fossil_fuel_units,,,,,,,,,"Fossil fuel emissions factors units. If multiple scenarios, use a comma-separated list. Only lb/MBtu and kg/MBtu are allowed."
Input,build_existing_model.emissions_fuel_oil_values,,in.emissions_fuel_oil_values,in.emissions_fuel_oil_values,,,,,,,,,"Fuel oil emissions factors values, specified as an annual factor. If multiple scenarios, use a comma-separated list."
Input,build_existing_model.emissions_natural_gas_values,,in.emissions_natural_gas_values,in.emissions_natural_gas_values,,,,,,,,,"Natural gas emissions factors values, specified as an annual factor. If multiple scenarios, use a comma-separated list."
Input,build_existing_model.emissions_propane_values,,in.emissions_propane_values,in.emissions_propane_values,,,,,,,,,"Propane emissions factors values, specified as an annual factor. If multiple scenarios, use a comma-separated list."
Input,build_existing_model.emissions_scenario_names,,in.emissions_scenario_names,in.emissions_scenario_names,,,,,,,,,"Names of emissions scenarios. If multiple scenarios, use a comma-separated list."
Input,build_existing_model.emissions_types,,in.emissions_types,in.emissions_types,,,,,,,,,"Types of emissions (e.g., CO2e, NOx, etc.). If multiple scenarios, use a comma-separated list."
Input,build_existing_model.emissions_wood_values,,in.emissions_wood_values,in.emissions_wood_values,,,,,,,,,"Wood emissions factors values, specified as an annual factor. If multiple scenarios, use a comma-separated list."
Input,build_existing_model.simulation_control_run_period_begin_day_of_month,,in.simulation_control_run_period_begin_day_of_month,in.simulation_control_run_period_begin_day_of_month,,,,,,,,,This numeric field should contain the starting day of the starting month (must be valid for month) for the annual run period desired.
Input,build_existing_model.simulation_control_run_period_begin_month,,in.simulation_control_run_period_begin_month,in.simulation_control_run_period_begin_month,,,,,,,,,"This numeric field should contain the starting month number (1 = January, 2 = February, etc.) for the annual run period desired."
Input,build_existing_model.simulation_control_run_period_calendar_year,,in.simulation_control_run_period_calendar_year,in.simulation_control_run_period_calendar_year,,,,,,,,,"This numeric field should contain the calendar year that determines the start day of week. If you are running simulations using AMY weather files, the value entered for calendar year will not be used; it will be overridden by the actual year found in the AMY weather file."
Input,build_existing_model.simulation_control_run_period_end_day_of_month,,in.simulation_control_run_period_end_day_of_month,in.simulation_control_run_period_end_day_of_month,,,,,,,,,This numeric field should contain the ending day of the ending month (must be valid for month) for the annual run period desired.
Input,build_existing_model.simulation_control_run_period_end_month,,in.simulation_control_run_period_end_month,in.simulation_control_run_period_end_month,,,,,,,,,"This numeric field should contain the end month number (1 = January, 2 = February, etc.) for the annual run period desired."
Input,build_existing_model.simulation_control_timestep,,in.simulation_control_timestep,in.simulation_control_timestep,,,,,,,,,Value must be a divisor of 60.
Input,build_existing_model.utility_bill_detailed_filepaths,,in.utility_bill_detailed_filepaths,in.utility_bill_detailed_filepaths,,,,,,,,,"Relative paths of detailed utility rates. Paths are relative to the resources folder. If multiple scenarios, use a comma-separated list. Files must contain the name of the Parameter as the column header."
Input,build_existing_model.utility_bill_electricity_filepaths,,in.utility_bill_electricity_filepaths,in.utility_bill_electricity_filepaths,,,,,,,,,"Electricity tariff file specified as an absolute/relative path to a file with utility rate structure information. Tariff file must be formatted to OpenEI API version 7. If multiple scenarios, use a comma-separated list."
